,Driven(KM),Brand(Model),Max Power,Gear Box,Age(Months),Fuel Type,Transmission,City,Area,Price(Lakhs)
0,120000.0,Maruti Celerio,67.04,5.0,9.0,Petrol,Manual,Bangalore,10700.0,4.0
1,32706.0,Ford Ecosport,121.31,5.0,6.0,Petrol,Manual,Bangalore,11526.0,8.11
2,11949.0,Tata Tiago,84.0,5.0,6.0,Petrol,Manual,Bangalore,10786.0,5.85
3,17794.0,Hyundai Xcent,81.86,5.0,10.0,Petrol,Manual,Bangalore,11310.0,4.62
4,60000.0,Maruti SX4 S Cross,88.5,5.0,9.0,Diesel,Manual,Bangalore,12170.0,7.9
5,20000.0,Jeep Compass,170.0,6.0,4.0,Diesel,Manual,Bangalore,12426.0,19.0
6,37772.0,Datsun GO,67.0,5.0,7.0,Petrol,Manual,Bangalore,10840.0,3.45
7,30000.0,Hyundai Venue,118.35,7.0,3.0,Petrol,Automatic,Bangalore,11530.0,12.0
8,37000.0,Maruti Ciaz,103.25,4.0,6.0,Petrol,Automatic,Bangalore,12440.0,9.6
9,11949.0,Tata Tiago,84.0,5.0,7.0,Petrol,Manual,Bangalore,10786.0,5.85
10,50000.0,Maruti Baleno,83.1,5.0,6.0,Petrol,Manual,Bangalore,11480.0,6.9
11,24887.0,Hyundai Grand i10,81.86,4.0,5.0,Petrol,Automatic,Bangalore,10850.0,6.82
12,23000.0,Honda Jazz,88.7,5.0,6.0,Petrol,Automatic,Bangalore,11298.0,8.25
13,48928.0,Tata Tiago,83.83,5.0,6.0,Petrol,Automatic,Bangalore,10786.0,5.95
14,108862.0,Mahindra XUV500,140.0,6.0,10.0,Diesel,Manual,Bangalore,12950.0,6.9
15,80000.0,Jeep Compass,170.0,6.0,6.0,Diesel,Manual,Bangalore,12426.0,13.5
16,16000.0,Mercedes-Benz GLA,187.74,8.0,2.0,Diesel,Automatic,Bangalore,12781.0,55.95
17,65376.0,Hyundai i20,88.76,6.0,10.0,Diesel,Manual,Bangalore,,5.21
18,10000.0,Tata Nexon,118.35,6.0,2.0,Petrol,Manual,Bangalore,11608.0,10.05
19,67000.0,Honda City,117.3,5.0,8.0,Petrol,Manual,Bangalore,,7.75
20,100000.0,BMW 5 Series,177.0,6.0,13.0,Diesel,Automatic,Bangalore,13374.0,22.0
21,18083.0,Maruti Swift,88.5,5.0,8.0,Petrol,Manual,Bangalore,11160.0,5.82
22,30000.0,Renault Duster,104.55,5.0,4.0,Petrol,Manual,Bangalore,12364.0,10.9
23,57634.0,Tata Tiago,84.0,5.0,8.0,Petrol,Manual,Bangalore,,4.57
